# name,ce_hash  (CE 1.2.0.59 native hashes, from FusionFix v5 source/natives.ixx; checked against GTAIV.exe by tools/verify)
CLEAR_WANTED_LEVEL,0x205622AC
DISABLE_PLAYER_LOCKON,0x711214F3
DOES_CAM_EXIST,0x46953225
GET_CAM_FOV,0x7BF4652D
GET_CAM_POS,0x60C22E93
GET_CAM_ROT,0x51A06698
GET_CHAR_SPEED,0x3E156AFC
GET_GAME_CAM,0xB2A2801
GET_GROUND_Z_FOR_3D_COORD,0x6D902EE3
GET_PLAYER_ID,0x62E319C6
GET_ROOT_CAM,0x75E005F1
IS_AUTO_AIMING_ON,0x366B0444
IS_BULLET_IN_AREA,0x58493B8E
IS_CHAR_DUCKING,0x495D6021
IS_CHAR_IN_AIR,0x23C15141
IS_CHAR_IN_ANY_CAR,0x71184DA3
IS_HUD_RETICULE_COMPLEX,0x4DDB5D59
IS_PAUSE_MENU_ACTIVE,0x6C4568A7
IS_PED_IN_COVER,0x5C825D83
IS_PLAYER_CONTROL_ON,0x30CD2F1F
IS_PLAYER_PLAYING,0x8274BA4
IS_SCREEN_FADED_OUT,0x59EE3A11
LOAD_SCENE,0x39F62BFB
REQUEST_COLLISION_AT_POSN,0x12ED0BC9
SET_CHAR_COORDINATES,0x689D0F5F
SET_CHAR_HEADING,0x46B5523B
SET_GAME_CAM_HEADING,0x45FB5CE1
SET_GAME_CAM_PITCH,0x1BC772AC
GET_GAME_VIEWPORT_ID,0x57F7558B
GET_VIEWPORT_POSITION_OF_COORD,0x287A49A5
GET_CURRENT_EPISODE,0x7D7619D2
GET_MISSION_FLAG,0x2BC64736
GET_CUTSCENE_SECTION_PLAYING,0x4C65BEB
HAS_CUTSCENE_LOADED,0x5DE43980
HAS_CUTSCENE_FINISHED,0x4ECE1AD2
IS_SCREEN_FADING,0x73700561
IS_PLAYER_BEING_ARRESTED,0x79A95BF9
IS_PLAYER_DEAD,0x12AE0E27
IS_CAR_IN_WATER,0xFF342B2
REQUEST_MODEL,0x502B5185
HAS_MODEL_LOADED,0x4E61480A
GET_CHAR_LAST_DAMAGE_BONE,0x767E5013
HAS_CAR_BEEN_DAMAGED_BY_CHAR,0x61487DBF
DOES_OBJECT_EXIST,0x6DAB78CD
GET_OBJECT_MODEL,0x5CC55619
DELETE_OBJECT,0x62FE6290
HAS_CHAR_GOT_WEAPON,0x11F759DE
SET_CURRENT_CHAR_WEAPON,0x6CF44DD6
SET_CAM_FOV,0x55D470C2
GET_FIRST_BLIP_INFO_ID,0x3BD729E9
GET_NEXT_BLIP_INFO_ID,0x154932F0
DOES_BLIP_EXIST,0x590A6FF4
GET_BLIP_COORDS,0x4C1E75DB
IS_PED_A_MISSION_PED,0x05801768
APPLY_FORCE_TO_PED,0x7305301D
TRIGGER_PTFX_ON_PED_BONE,0x7D3C3C9D
START_PTFX_ON_PED_BONE,0x2209116C
STOP_PTFX,0x0EAA4429
EXPLODE_CHAR_HEAD,0x4A802E89
GET_CHAR_DRAWABLE_VARIATION,0x1A1A6D83
GET_CHAR_TEXTURE_VARIATION,0x3A7B78C5
SET_CHAR_COMPONENT_VARIATION,0x71A52973
GET_PED_BONE_POSITION,0x43475BB3
SET_CHAR_AS_MISSION_CHAR,0x60EC0540
SET_CHAR_BLEEDING,0x38330B4A
DOES_CHAR_EXIST,0x46531797
GET_AMMO_IN_CLIP,0x612C748F
GET_CHAR_HEALTH,0x4B6C2256
GET_CURRENT_CHAR_WEAPON,0x5AB8289F
GET_MAX_AMMO_IN_CLIP,0x01794A3C
HAS_CHAR_BEEN_DAMAGED_BY_CHAR,0x1DD624A0
IS_CHAR_DEAD,0x6A6B4F18
FORCE_WEATHER,0x7EFB5077
RELEASE_WEATHER,0x3A115D9D
GET_CURRENT_WEATHER,0x27E421EA
GET_TIME_OF_DAY,0x384B3876
SET_PED_DENSITY_MULTIPLIER,0x540F2DF7
SET_CAR_DENSITY_MULTIPLIER,0x0AA73A12
DELETE_CHAR,0x0E3B49BF
GET_CHAR_MODEL,0x0A3D60CE
GET_GAME_TIMER,0x022B2DA9
GET_CHAR_COORDINATES,0x2B5C06E6
GET_CHAR_HEADING,0x057A3AC7
GET_CHAR_ARMOUR,0x3C756E54
GET_CAR_CHAR_IS_USING,0x1B067237
GET_HOURS_OF_DAY,0x0A9F7BA1
GET_MINUTES_OF_DAY,0x3DFE691D
SET_TIME_OF_DAY,0x52100540
FORCE_WEATHER_NOW,0x63737D31
DISPLAY_HUD,0x52632919
DISPLAY_RADAR,0x17920FA7
ADD_ARMOUR_TO_CHAR,0x1C623537
ADD_SCORE,0x537379A8
ALTER_WANTED_LEVEL,0x60C80EC9
